Waypoint;Lat_m;Long_m;A320_height;B737NG_height;B777_height;A330_height;B787_height;A320_speed;B737NG_speed;B777_speed;A330_speed;B787_speed;A320_vertical_speed;B737NG_vertical_speed;B777_vertical_speed;A330_vertical_speed;B787_vertical_speed
ABILO;317.2581045;3070.771568;;;;;;;;;;;;;;;
ALAMO;4048.010791;3543.186025;;;10573.88659;11326.98342;11319.26983;;;505.9047651;500.4721254;517.0162569;;;-0.14301223;-0.030199476;-0.193256831
DKI;-903.514355;247.8259356;4328.713723;4159.698398;4346.184035;4271.933005;4456.930648;326.0026448;323.4191855;326.4416102;331.2170834;326.0376455;-7.626238976;-7.723721717;-7.189547314;-7.887400058;-7.618051163
ESALA;-904.3889287;768.4951784;5795.959724;5611.64227;5765.103812;5823.267318;5899.32743;358.8892337;351.0296304;356.8028518;364.2342646;358.8363476;-8.223500167;-7.471582427;-8.023366178;-7.793790297;-7.371476108
FAP07L;-1268.71851;-660.63155;613.3633011;600.8382533;617.1922527;612.2820203;624.2760912;150.0053908;155.8606399;167.1502542;159.8605022;162.6268573;-3.520229685;-4.166638701;-3.805483182;-3.921759686;-3.590140347
GAPRI;-904.3889287;2006.762936;9002.639296;8705.316029;9275.874871;9167.144402;;431.1248437;421.8717856;442.5640396;458.0402883;;-7.727271823;-7.545392787;-8.704082672;-9.914774962;
GASPA;-152.1683299;2522.184722;;;8839.199895;11572.90616;11510.73571;;;390.9375351;486.4326397;505.1411088;;;2.03E-26;-8.369508197;-8.073571429
GETES;-1205.853355;2316.972936;10017.88473;9513.8732;10016.61749;10470.20749;;445.5688269;440.9525402;476.0389525;463.59828;;-7.501922285;-6.576217104;-7.595955274;-9.359381622;
IMU;-1538.750425;2661.85645;9679.092651;10340.99843;10742.04772;11137.76396;;447.3581972;455.0067329;475.8793599;466.2758665;;-4.558444216;-5.123020463;-5.72642328;-5.648321693;
INDIA;-902.3312085;-209.9782784;3198.034959;3114.181994;3185.944792;3186.068517;3223.692525;289.8506556;282.7299016;292.8039464;291.6022797;291.4669314;-6.159388436;-5.039032243;-5.54641442;-5.435117195;-5.05118994
IPKON;-4794.514934;2532.525178;;;;;;;;;;;;;;;
KIDET;-1532.530578;2639.615412;9654.05949;10318.01395;10592.14306;11273.44688;;445.1133238;454.4603611;467.9559115;459.2478433;;-4.456466438;-5.261322302;-5.527991758;-6.451620137;
KURUS;-905.6751093;2918.872936;10785.10897;10156.36864;10808.49369;11476.20707;;450.8443934;459.5352518;454.6737487;468.1412613;;-4.920553498;-4.561493693;-2.7384375;-6.151807659;
NEGLA;-1271.136398;-666.5990644;628.9046314;619.6048184;632.7052805;629.673169;638.3398974;150.6295522;157.0097379;168.2956459;160.7405943;162.9926486;-2.608169308;-3.437449016;-2.897452815;-3.017802728;-2.296756985
NININ;-1300.871258;-871.4508216;807.9674947;769.865933;880.6463489;845.1435719;866.7174223;189.9188165;187.5914886;197.0150317;193.9443297;187.507666;-3.708877185;-2.965997366;-3.488250876;-3.568790716;-3.029310388
ODBAN;-1311.263104;-767.3787928;673.2322514;666.2920609;754.9855647;709.8824594;720.2504827;172.0570674;169.7698947;184.1273494;176.5553583;175.2743332;-0.898305089;-0.791850175;-1.951628956;-1.411936826;-1.534376635
RW07L;-1199.505155;-486.86765;64.92353533;70.94121176;74.80413395;65.38521424;78.07420985;115.0348468;123.2490571;129.0160356;115.1348195;123.0358544;-1.997581982;-1.589551867;-2.207148585;-2.264500133;-1.922879298
SALVI;-1178.690754;-893.0060644;1125.211203;1116.210937;1224.082377;1165.012591;1183.379262;216.3023357;217.3609341;215.2786004;214.9710666;211.8374354;-5.494600749;-5.207145265;-4.640844283;-5.113729379;-4.452777681
SAMBA;-1055.635572;-588.6093072;1997.457209;1980.172211;2080.022062;1982.668055;2082.963708;255.0256961;256.7365758;260.2482027;255.1641271;255.0426895;-5.126501265;-5.705429799;-5.623466748;-4.842247417;-5.821745895
WETES;-904.3889287;1385.82845;7481.447092;7172.246578;7602.037976;7567.187868;7425.184528;393.9544698;387.791643;400.7682244;414.517341;392.7746239;-8.413233923;-8.193950726;-8.869820855;-8.826968775;-7.05436057
