Waypoint;Lat_m;Long_m;A320_height;B737NG_height;B777_height;A330_height;B787_height;A320_speed;B737NG_speed;B777_speed;A330_speed;B787_speed;A320_vertical_speed;B737NG_vertical_speed;B777_vertical_speed;A330_vertical_speed;B787_vertical_speed
AMBOY;2975.548012;2342.781111;;;;11272.60322;12494.42647;;;;480.6992054;515.3497763;;;;0.124918033;0.124918033
BUNIK;1132.811095;-515.5582784;9687.657367;9567.080089;9222.076111;9218.865723;9307.117502;442.7338507;439.0098182;449.9710379;437.8614531;445.0784419;-9.788746455;-8.21017113;-8.854594514;-8.928855093;-8.473703129
CARLI;394.7889973;-1275.084036;;8525.283214;;;9745.979994;;362.5487184;;;414.9984824;;-4.519748028;;;2.03E-26
CARTA;182.837924;-590.6670644;6121.467477;6487.639493;6223.99157;5865.002853;6314.9502;390.0506428;389.1901061;410.2758531;393.6372884;388.179964;-10.98964375;-11.540835;-10.14953435;-9.582179076;-9.367161764
CIPON;-1348.148732;-750.7622784;922.9784188;924.4028084;935.6221954;929.1737353;938.7698646;169.9438287;165.0838336;186.6356282;180.448263;179.9104824;-4.337843963;-4.049752358;-4.940739172;-4.711545675;-4.542737495
DAKAR;-1055.378357;-1089.678278;2155.723316;2236.861498;2240.972466;2187.75175;2263.857117;244.0228965;245.9744069;248.5551577;249.8541599;246.3471144;-2.414668082;-4.191455216;-3.637030381;-3.51947293;-3.466975877
DENDY;511.6193448;1305.420722;7835.9;9686.486548;9530.758337;9403.219547;9531.156727;432.126793;453.7241696;474.4034539;459.2422812;478.0426038;-4.445;-6.758214286;-9.147820547;-8.357934411;-8.638623258
DENOK;186.1818248;476.5479356;;7698.994683;7484.799327;7447.096815;7594.291279;;391.9642681;414.1218583;422.3228505;415.4642428;;-6.98642052;-8.130931921;-7.892716653;-8.11225358
DORCE;395.0976757;-1682.421064;894.8435743;;;;9751.059994;169.2173873;;;;390.9985842;-4.306175966;;;;1.27
FAP07R;-1344.496177;-741.65655;;895.9071381;905.4316966;898.8664029;909.5744682;;163.9622566;185.2477541;179.4874397;178.2512178;;-4.245923309;-4.926315798;-4.802890148;-4.617925729
KAKAP;-851.9155904;-589.6382784;3345.443078;3433.801642;3410.55435;3351.010074;3482.579167;294.8676473;295.1218142;297.1111854;299.4871876;296.3095029;-5.947000424;-5.765570674;-5.791535789;-6.088859699;-5.853237517
KOTAB;-1420.376682;-932.1553072;1275.771623;1297.275682;1357.882283;1322.235196;1348.07713;192.9816628;186.7490902;198.8863916;195.5341589;197.3317991;-2.4570729;-2.498222066;-2.704935483;-2.170425181;-3.102818594
NOKTA;0;0;6379.40656;6440.800971;6475.058844;6438.388175;6584.870273;357.0652094;349.9484486;362.4159617;368.6171809;363.4904746;-8.096008977;-7.236597553;-6.745201183;-7.362575538;-6.722226576
OSCAR;-728.4489064;-280.97155;4243.448969;4346.109194;4272.124582;4290.102655;4312.401374;315.8277577;316.536619;313.0105139;320.1106132;317.3835686;-7.602805939;-6.917018239;-6.846308937;-7.434400161;-6.441424788
RAMAL;553.0835839;-250.4650356;8094.813254;8130.90072;7897.328864;7908.040355;7910.893426;400.0422891;397.7306511;403.1705858;393.5785983;399.1929492;-9.337452662;-8.711080405;-7.808834003;-7.752273114;-7.439224345
RW07R;-1239.40032;-477.9111928;72.07985661;71.26929381;75.91639291;69.85861227;79.10670137;129.0591803;144.831351;144.4775819;133.7099678;145.7391616;-2.317030096;-3.095094196;-2.908211048;-2.507989412;-3.016959685
SEPAT;-1355.042278;-1036.793307;1520.92618;1563.86144;1600.267686;1559.456237;1615.308902;206.8372411;206.2983771;209.5197928;208.7217711;206.5011414;-2.427791776;-4.03471943;-3.455789988;-3.425953767;-3.355135618
TKG;394.4804244;-3162.426307;;;;;;;;;;;;;;;
