Waypoint;Lat_m;Long_m;A320_height;B737NG_height;B777_height;A330_height;B787_height;A320_speed;B737NG_speed;B777_speed;A330_speed;B787_speed;A320_vertical_speed;B737NG_vertical_speed;B777_vertical_speed;A330_vertical_speed;B787_vertical_speed
AMBOY;2975.548012;2342.781111;10598.96936;10598.96936;10054.59;10598.96936;11143.34871;493.800101;493.800101;504.0787155;493.800101;483.5214865;-0.066042953;-0.066042953;2.03E-26;-0.066042953;-0.132085906
ARKAP;-1065.049916;-149.6853072;678.6771495;675.0851554;716.1733729;721.8077745;701.1477037;190.1224549;180.4367598;189.5642445;187.332523;182.7721069;-1.097269708;-1.214564439;-1.861396753;-1.338266762;-1.54990476
BUNIK;1132.811095;-515.5582784;6949.022009;6940.485524;6818.523183;6644.059465;6945.835273;394.9827543;372.8969837;388.5104343;389.0694205;390.7517553;-9.339304566;-8.28169189;-7.837419807;-8.224181161;-7.936495284
CARLI;394.7889973;-1275.084036;6074.774631;6074.774631;6074.774631;6074.774631;6074.774631;372.0916893;372.0916893;372.0916893;372.0916893;372.0916893;-8.916051282;-8.916051282;-8.916051282;-8.916051282;-8.916051282
CARTA;182.837924;-590.6670644;4277.013636;4158.859389;4150.640114;3578.081604;4297.923583;313.826216;335.5627422;329.5623807;335.0485548;326.2394737;-7.916964773;-9.087916533;-7.089233643;-7.444004584;-7.148086858
DENDY;511.6193448;1305.420722;7442.781963;7442.781963;7269.271414;7352.975066;7366.82108;378.316389;378.316389;391.5640851;389.7490616;393.3227911;-6.395883276;-6.395883276;-7.897116522;-7.054593494;-7.67626522
DENOK;186.1818248;476.5479356;3532.616014;5238.760208;4522.431419;4611.307978;4683.421296;285.9562165;316.8986377;322.159113;329.3890896;326.6003722;-6.394405594;-5.905484677;-7.703297654;-7.924370831;-6.581595809
DORCE;395.0976757;-1682.421064;;;;;;;;;;;;;;;
FAP25R;-1108.108955;-256.43255;598.1074337;599.2524967;607.5326568;602.5773223;613.6533734;164.3004577;163.8752754;172.9311244;170.5035719;165.6938085;-3.986718981;-4.305980043;-4.027028322;-4.264036009;-3.875059001
INSTO;-1105.228065;-250.41355;615.0860825;619.2328079;623.6368774;620.9880315;629.5127519;165.1767497;164.8159425;174.0861915;171.4569932;166.4069148;-2.928034533;-3.607039823;-3.1088907;-3.536721678;-2.686666669
NOKTA;0;0;3636.584939;3792.583746;3775.036216;3720.603051;3964.965423;289.881285;284.1603473;294.7122589;290.2832024;295.2563118;-7.125708245;-6.019827154;-5.772892696;-6.019747706;-5.751265772
PRIOK;-902.953236;-16.1536996;1078.208056;1131.298488;1043.878455;1034.708749;1008.632951;217.9903129;216.3165847;212.4235069;215.4656963;210.6043487;-3.26780934;-4.076672042;-3.292797728;-2.954169201;-3.37021152
RAMAL;553.0835839;-250.4650356;5343.369674;5382.641297;5330.706847;5140.951382;5357.259723;341.7190397;329.3336055;343.0347103;337.9442862;344.8838216;-8.309333634;-7.242267437;-7.799637784;-7.836929002;-7.92034661
RAMBU;-453.7401426;-6.7907284;2104.572383;2133.080353;2207.093257;2062.869144;2195.183194;255.1437853;255.5237268;262.3355226;259.1599315;262.4972583;-5.331600143;-5.651277135;-5.524739837;-5.106872499;-6.023141075
RW25R;-1177.286298;-457.2202784;23.5378433;25.900141;18.78751114;24.38973309;23.12890556;72.22403766;79.53233432;82.49478517;71.35788297;78.71331681;-0.654877289;-0.891241275;-0.805962038;-0.594192698;-1.153436137
TABAN;-1135.065842;-325.2137928;373.2668834;379.7953759;382.2192503;375.7705293;386.1516621;144.8750935;151.5666588;155.5368701;149.6447454;152.5278098;-3.71564594;-3.93396112;-4.078620212;-3.901569583;-3.984355932
TKG;394.4804244;-3162.426307;;;;;;;;;;;;;;;
