Waypoint;Lat_m;Long_m;A320_height;B737NG_height;B777_height;A330_height;B787_height;A320_speed;B737NG_speed;B777_speed;A330_speed;B787_speed;A320_vertical_speed;B737NG_vertical_speed;B777_vertical_speed;A330_vertical_speed;B787_vertical_speed
ABASA;4483.848283;665.5371276;;;;;;;;;;;;;;;
ABILO;317.2581045;3070.771568;;10361.72515;;;;;449.5352467;;;;;6.390967742;;;
ALAMO;4048.010791;3543.186025;;;;11762.91132;11879.83393;;;;469.5959138;502.9984073;;;;1.592155425;-0.254
AMBOY;2975.548012;2342.781111;;;;11708.18953;;;;;398.1314598;;;;;2.0240625;
ANDIS;2194.363778;161.5356996;;;;;;;;;;;;;;;
CA;-2268.032204;3070.771568;9804.079385;10433.8577;11875.22564;9942.908413;;451.1563256;457.0625716;489.9162117;460.6104597;;3.673710394;4.658163328;1.33047619;;
DOLTA;1110.223081;-1808.89044;8095.88593;8484.968996;7801.418318;7389.971133;8336.189154;453.1942256;449.6020894;467.6981415;441.8676419;473.8227923;5.523472992;6.560525914;7.279656351;6.289122707;7.196067825
ESTIA;2657.003834;-135.6076996;;;;;;;;;;;;;;5.762020713;
FRIDA;877.0767105;2784.637568;;;;;;;;;;;;;;;
KELES;2669.762077;-253.0037572;;;;;;;;;;;;;;;
LEPAS;1678.324348;1642.879012;;;9933.86742;9428.605328;;;;;475.5631141;;;;;6.203132084;
MUTIA;-124.3412576;2051.348169;;;;;;;;;;;;;;;
NADIN;1482.526672;3456.759482;;;;;;;;;;;;;;;
NIKEN;-655.5567959;-814.9833416;3005.310646;2952.43216;2885.685462;3061.380681;3022.704947;327.3291203;318.6444714;481.9187864;319.8745185;320.4538552;10.67678917;11.25562488;5.660571429;9.050136832;8.907639262
PUSPA;2680.359673;-157.2142428;;;;;;;;;;;;;;;
PUTRI;2543.260172;-525.6081564;;;;;;;;;;;;;;;
PW;-2024.854131;743.9383992;;7352.292194;;;;;387.2264764;;;;;7.822090107;;;
RATNA;2227.751215;645.3193992;;;;;;;;;;;;;;;
SIKAD;2244.522075;-1168.303827;;;;;;;;;;;;;;;
TATIK;-793.788085;513.9816708;;4663.215882;;5249.949041;;;383.681353;333.1461947;380.4381884;;;9.188823529;8.737924936;12.00727273;
TIKHA;4251.730878;1971.609198;;;;;;;;;;;;;;;
TOMBO;1743.504465;450.9621852;;;;;;;;;;;;;;;
TULIP;1660.987487;-2355.436383;9113.846744;9674.36527;9088.941549;8637.539991;9733.733612;467.8928049;466.1749647;493.9144833;470.9143719;499.9839687;4.924023977;5.449807501;6.728808866;4.613458923;7.048653921
UTARI;-395.5050397;1015.513827;;;;;;;;;;;;;;;
