Waypoint;Lat_m;Long_m;A320_height;B737NG_height;B777_height;A330_height;B787_height;A320_speed;B737NG_speed;B777_speed;A330_speed;B787_speed;A320_vertical_speed;B737NG_vertical_speed;B777_vertical_speed;A330_vertical_speed;B787_vertical_speed
ABASA;4483.848283;665.5371276;;;;;;;;;;;;;;;
ABILO;317.2581045;3070.771568;10201.656;10586.82141;10394.23871;10394.23871;10394.23871;447.4640896;450.2516434;448.8578665;448.8578665;448.8578665;4.699;3.824103649;4.261551825;4.261551825;4.261551825
ALAMO;4048.010791;3543.186025;11444.99803;11444.99803;11600.8427;11600.8427;11600.8427;456.4088763;456.4088763;459.5050328;459.5050328;459.5050328;2.660952381;2.660952381;0.54476746;0.54476746;0.54476746
AMBOY;2975.548012;2342.781111;10459.71995;10459.71995;10459.71995;10459.71995;10459.71995;465.5318552;465.5318552;465.5318552;465.5318552;465.5318552;2.54;2.54;2.54;2.54;2.54
BUNGA;-1194.283244;-153.3559712;3843.774708;3964.833248;3659.15762;3775.285493;3717.221557;351.2196281;353.885739;340.1643188;339.4077646;339.7860417;9.625897231;10.83510864;10.01251208;8.079652233;9.046082157
CA;-2268.032204;3070.771568;9734.50278;10558.80231;10945.55843;10945.55843;10945.55843;453.8795592;456.0130797;458.8570006;458.8570006;458.8570006;4.260332944;3.945053147;4.962182296;4.962182296;4.962182296
CORIL;180.3643521;1908.332284;8481.7335;9482.825234;8982.279367;8982.279367;8982.279367;463.690738;457.6513522;460.6710451;460.6710451;460.6710451;4.518860265;5.56825779;5.043559028;5.043559028;5.043559028
DOLTA;1110.223081;-1808.89044;8672.345274;10280.39599;10162.53999;7992.998333;9077.769162;434.0353188;460.3675407;516.4214693;441.0225472;478.7220083;4.67204636;4.826;9.652;5.683770492;7.667885246
ERLIN;-1405.977208;-895.85407;2697.433452;2630.462822;2269.11686;2374.205852;2314.245542;283.7263307;280.1813246;288.865661;289.8160074;293.3994147;12.36755575;12.24501288;11.33623559;12.81661545;13.00482685
FRIDA;877.0767105;2784.637568;9710.520533;10606.66442;10158.59248;10158.59248;10158.59248;463.0032044;458.7180764;460.8606404;460.8606404;460.8606404;4.933805789;3.170054296;4.051930043;4.051930043;4.051930043
HASAN;-608.1250406;-1673.951498;5977.772767;5848.531359;5162.121715;5677.38043;4832.08875;390.9430867;425.7780735;407.5158165;405.9862798;401.8206172;8.259206416;8.345714286;10.22066489;9.163816709;8.218384888
HLM;-1479.028379;-27.214214;4093.248802;4202.897442;4619.625;4363.250458;4491.437729;353.6727782;361.2591679;374.4729221;360.676132;367.5745271;10.09618565;11.49832473;17.145;10.63140567;13.88820284
LARAS;-356.2014475;369.4741852;6424.949665;6723.744575;6126.860303;6197.120823;6161.990563;419.2109096;420.5507651;433.4917921;401.6799425;417.5858673;7.930890402;8.361082713;10.44949268;6.56918503;8.509338855
LEPAS;1678.324348;1642.879012;9296.926258;9296.926258;10613.88156;9243.689658;9928.785609;465.3977615;465.3977615;490.3203044;457.5502587;473.9352816;5.817225934;5.817225934;4.373225063;4.92083991;4.647032487
NADIN;1482.526672;3456.759482;;;;;;;;;;;;;;;
NUREN;-1609.234328;221.2110288;5052.256551;5224.492679;;5356.664394;;376.2639411;382.9762683;;372.5982437;;9.215888834;11.20136397;;10.42872903;
PW;-2024.854131;743.9383992;6483.966255;7272.606736;6878.286496;6878.286496;6878.286496;414.3287788;409.2861463;411.8074626;411.8074626;411.8074626;8.819273321;7.861726081;8.340499701;8.340499701;8.340499701
RATIH;-831.6512101;192.5565144;6056.114063;5559.376266;5301.025307;5035.140791;5168.083049;360.1941689;391.4617732;398.7335512;381.2472717;389.9904115;9.9615625;10.14387944;11.70689754;9.641113307;10.67400542
SAVIA;-1108.782507;-984.4413416;3551.742418;3372.769954;2944.725751;2975.661326;2750.466222;327.9076202;334.6731237;318.4771203;302.6617207;294.0890776;8.960384878;9.348211975;11.34520803;10.65572306;11.17157488
SIKAD;2244.522075;-1168.303827;;;;;;;;;;;;;;;
TIKHA;4251.730878;1971.609198;;;;;;;;;;;;;;;
TOMBO;1743.504465;450.9621852;;;;;;;;;;;;;;;
TULIP;1660.987487;-2355.436383;9515.305913;10795.63318;9368.434946;8629.531657;;460.5687123;462.282198;489.3189605;457.753829;;4.810737674;5.948477752;5.610909744;4.90360149;
